text,label
bekle peuget bangai bak media male teuh,negative
timoeh indon teunvoeh nie peutepat tong dek lamiet,neutral
meuprang laju kalinyo payah kaeh i gle keuh mandum,neutral
penjajah,neutral
mantap apache beuk leumoh jak aju haha haaaaa,positive
prang eek boh,negative
pu ka kapegah gan kakak lam page kedeh,neutral
pane ureng tgk fadlon nyan kunak bi hadiah sineuk mangat jet bagah dijak papma ih,negative
ne bru nma nya lagu aceh n yg hnna eksen n meu ek miyek bhsa jih bradak meu bak bhsa aceh n yg penteng watee dmeu lagu n hnna tuwoe bhsa aceh n lagu pih hnna tiruan ureung brcwek nya sopan n pih cwek jih hnna meu eksen brmantaap,neutral
mantap lagu nya salam medan,positive
ek boh mak kah ate prang hana deuh muka kah hai bui na yg suot quotsiap waliquot meungap,negative
kiban tapiep sam sue nyeu hana mudee han jeut ta cok pajak nanggro ba ju budee keunoe,neutral
kayak pap ma keuh mualem,negative
beres nazar,positive
bek kharue hai bangsa aceh jno shaban shaban duekoeng partai aceh krna bek gadoh dri mka boumoe nyou,positive
pbb masuk aceh apapun kejadian,neutral
droku soe menang menang ji kedeh dak han pu yg lebeh teman dukungan ulama sagai ken ken ulama uleu,neutral
meuka geuhah,neutral
semangat pejuang semoga beutrok ban hajat,positive
ek ek lemo jet intan,negative
hudeep saree mate sahid,neutral
hai bek pegahnyo pegahjehle lebeh got tapetou droe teh dng allah,positive
pukoe ma,negative
butoi nyan abu chik,neutral
alah hai sarok bangai paleh,negative
bereh nyan abusyik,positive
seniman berkarya hasil ciptaan bangga lon urg aceh lirik amp irama mangat tadingo kon lage awak blah deh brk modal ciplak irama lagu gop d tuka lirik male tan,positive
semoga aneuk bajeung yg perusak syariat islam aceh secepatnya azab allah bangsa aceh anak yatim semoga perusak syariat islam aceh ketabrak mati lami bernazar anak yatim,negative
cap aceh tok tok a hrefhttpwww youtube comresultssearchquerylanjutkanlanjutkana,positive
beereeeh apache lirik lagu musik ciri khas aceh semoga sukses apache saleum aneuk rantau,positive
rakan lagee daro neh pegah,neutral
wkwkkw ras taufik lucu,positive
aceh mardeka brhaba ube haba merdeka,neutral
nyoe baroe lagu aceh bereh,positive
menyoe mejak prang kak aju palestina bek rayeuk that cet langet,neutral
peng leupi gop kadang hana ibayeu,neutral
wajib merdeka,neutral
konten lge but kafe,negative
tujuan jih syeki beu jidrop nyan ambisi si mran iek asee nyan,negative
kiban han tip urou teuma tadingoe teumeunak atra kagalak drouteuh bak tadingoe alhwuh nyan na peugah lom nyanban model awak aceh amp na peugah hana maju hana galak teuh tip urou tadingoe teumeunak bek galak teuh tanging takomen ur,neutral
sang malaikat kah,neutral
berkarya juh mandum aneuk aceh bek kendoe jeut,neutral
pu kajiprak si nerewok bangai hana mepat sejarah bek jak prak,negative
peng agama kapeblo,neutral
euk boh,negative
mak lon kalheuh neupeukawen mak jinoe lon ka meurumoh tangga,neutral
bereh wabub,positive
bereh that wabub sukes,positive
kameurumpeok aseedeek ngon ureengcireed,negative
assalamualaikum,neutral
long,neutral
subtitle bahasa aceh jih pat,neutral
